id;country_from;location_from_id;country_to;location_to_id;transport_mode;equipment_id;supplier_id;match_supplier_pickup;match_supplier_delivery;owned_container;route_id;service_time;rate_basis;charge;charge_fix;currency;not_exclude;distance_min;distance_max;estimate_exclude;remark;remark_cn;create_date;update_date
1.00;BE;Antwerpen, Flanders;DE;Duisburg, North Rhine-Westphalia;AUTO;-;21;;;-;-;2.00;EquipmentCount;700;0;EUR;;;;;;;;
2.00;BE;Antwerpen, Flanders;DE;Hamburg, Hamburg;AUTO;-;21;;;-;-;4.00;EquipmentCount;1600;0;EUR;;;;;;;;
3.00;BE;Antwerpen, Flanders;DE;Munich, Bavaria;AUTO;-;21;;;-;-;2.00;EquipmentCount;2150;0;EUR;;;;;;;;
4.00;BY;Brest, Brest;BY;Baranovichi, Brest;AUTO;-;20;;;-;-;1.00;EquipmentCount;520;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
5.00;BY;Brest, Brest;BY;Brest, Brest;AUTO;-;1;;;-;-;1.00;EquipmentCount;240;0;USD;;;;1;;;;
6.00;BY;Brest, Brest;BY;Gomel, Gomel;AUTO;-;20;;;-;-;1.00;EquipmentCount;1320;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
7.00;BY;Brest, Brest;BY;Mahilyow, Mogilev;AUTO;-;20;;;-;-;1.00;EquipmentCount;1520;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
8.00;BY;Brest, Brest;BY;Minsk, Minsk City;AUTO;-;20;;;-;-;1.00;EquipmentCount;840;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
9.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;20DC;19;;;COC;Brest-Zhengzhou(centre);14.00;EquipmentCount;2660;0;USD;;;;;Empty container return at the place of pick up/destination. Dropp-off fee is subject of confirmation;空箱归还到提箱地/目的地，需提前确认退箱费;;
10.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;20DC;19;;;SOC;Brest-Zhengzhou(centre);14.00;EquipmentCount;2960;0;USD;;;;;;;;
11.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;40DC;19;;;COC;Brest-Zhengzhou(centre);14.00;EquipmentCount;3600;0;USD;;;;;;;;
12.00;BY;Brest, Brest;CN;Zhengzhou, Henan;RAIL;40DC;19;;;SOC;Brest-Zhengzhou(centre);14.00;EquipmentCount;3300;0;USD;;;;;;;;
